ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,5.397,-5.415,63.214,54.373,973.65,108.731,1.956,100.791,1.945,2.622,6.934e-05,H24S4N8O16,mp-23991
Insulator,1.409,-6.808,160.252,96.278,594.125,61.207,2.527,61.237,2.461,2.781,6.071e-05,Mn6Co4O16,mp-504423
Insulator,5.163,-5.788,34.937,13.374,396.499,65.994,2.864,62.798,2.742,2.579,5.908e-05,Rb4P4O8F8,mp-558162
Insulator,1.149,-6.204,57.339,19.222,405.533,16.078,2.817,15.882,2.748,3.426,5.924e-05,V4Cl4O4,mp-23061
Insulator,1.628,-2.811,14.623,7.167,163.358,23.101,3.267,20.807,2.954,3.334,6.364e-05,K2Pd1Br4,mp-27138
Insulator,3.58,-7.655,28.808,20.677,650.218,107.077,2.311,103.763,2.279,2.437,6.729e-05,Cr4C24O24,mp-647812
Insulator,2.982,-4.654,23.706,25.589,478.732,117.882,2.739,112.122,2.607,3.381,5.695e-05,Mn4H32Br8O16,mp-540545
Insulator,2.237,-4.811,24.029,14.681,368.315,45.149,2.796,43.391,2.667,2.711,6.989e-05,P8S10,mp-7260
Insulator,3.018,-7.466,148.037,80.608,510.936,68.237,2.67,69.038,2.593,2.721,6.016e-05,Y6Ga6O18,mp-17853
Insulator,1.026,-3.406,32.263,20.389,232.53,45.357,3.075,44.058,2.93,2.367,6.076e-05,Ga8Se8,mp-568263
Insulator,1.449,-4.679,32.346,18.483,240.264,17.762,3.013,17.348,2.888,2.892,5.246e-05,Ba2S4,mp-684
Insulator,4.353,-7.239,152.205,116.807,821.941,127.444,2.096,127.553,2.086,3.076,6.108e-05,Sr2Al24O38,mp-6995
Insulator,6.046,-5.086,14.229,10.965,637.971,112.996,2.333,103.413,2.284,3.158,6.545e-05,H20C4S4O20F12,mp-706514
Insulator,4.838,-5.909,35.618,35.026,658.02,122.558,2.369,112.628,2.314,2.618,5.996e-05,Na8P8H16O32,mp-24109
Insulator,3.074,-5.607,44.074,26.227,424.92,136.858,2.774,128.809,2.684,2.364,6.001e-05,K12Se12N12O24,mp-553978
Insulator,0.31,-3.448,51.828,27.31,272.686,65.045,3.034,60.386,2.883,2.569,6.09e-05,Zn8As16,mp-7262
Insulator,3.15,-5.604,19.362,10.706,400.428,70.986,2.808,68.184,2.649,2.727,5.543e-05,Hg4C8O8F12,mp-558982
Insulator,2.954,-6.431,70.985,30.4,543.746,153.545,2.487,143.744,2.361,2.406,6.915e-05,Ag16C48N48O32,mp-1183029
Insulator,3.102,-7.535,93.566,40.319,426.077,41.338,2.779,41.238,2.721,2.773,5.118e-05,U3H2O10,mp-626062
Insulator,2.344,-3.257,23.474,9.901,246.622,48.401,3.097,46.676,2.929,3.045,5.917e-05,Cd4Cl8O4,mp-1106253
Insulator,4.481,-5.486,46.153,31.6,533.626,147.996,2.594,136.79,2.465,2.661,5.902e-05,K16P8H24O40,mp-706521
Insulator,2.301,-5.885,39.779,23.295,440.051,52.665,2.777,51.968,2.717,2.51,5.991e-05,Sb8O12,mp-2136
Insulator,3.919,-7.537,120.891,54.473,555.009,64.348,2.641,63.354,2.555,2.66,5.166e-05,Nd2P6O18,mp-7264
Insulator,3.886,-7.452,104.935,54.328,606.097,137.589,2.477,133.236,2.38,2.673,5.155e-05,Nd4P20O56,mp-4736
Insulator,3.648,-6.416,48.629,29.995,498.141,59.136,2.725,58.621,2.574,2.611,5.827e-05,Sn4P4O12F4,mp-555838
Insulator,5.316,-7.364,69.611,58.52,686.185,108.362,2.256,104.159,2.284,2.473,6.012e-05,Na8B16O28,mp-17941
Insulator,5.242,-5.648,30.841,28.731,556.393,97.099,2.614,96.922,2.505,2.627,5.904e-05,K4Li4P4H8O16F4,mp-690708
Insulator,5.576,-7.508,69.728,64.073,702.274,150.274,2.196,138.08,2.215,2.505,5.993e-05,Na12B36O60,mp-556226
Insulator,1.973,-5.459,57.86,23.124,265.946,110.722,2.998,107.141,2.862,2.412,5.25e-05,La8Ge6S24,mp-650031
Insulator,5.434,-5.499,41.57,52.324,825.506,116.164,2.162,105.713,2.096,2.515,6.034e-05,Li4H20S4N8O16,mp-504426
Insulator,4.465,-6.323,66.484,46.576,602.229,37.616,2.492,39.411,2.416,2.774,5.932e-05,Na2Ca2Si2H2O8,mp-634418
Insulator,1.333,-4.109,33.847,15.348,223.151,97.625,2.986,93.239,2.889,2.195,6.062e-05,As16Se16,mp-542570
Insulator,5.333,-5.621,37.295,47.357,683.333,56.941,2.352,48.568,2.228,2.65,6.003e-05,Ca2H8S2O12,mp-23690
Insulator,2.038,-5.803,95.187,70.125,480.993,147.473,2.624,141.216,2.658,2.579,5.987e-05,K12Sb20O56,mp-12156
Insulator,2.335,-5.73,93.484,48.17,438.898,94.282,2.776,91.03,2.661,2.561,6.006e-05,K4Sb8O22,mp-27140
Insulator,0.287,-3.782,27.771,16.733,219.9,102.475,3.021,100.03,2.922,2.914,6.034e-05,Ca20Sb12,mp-17564
Insulator,2.531,-3.388,-0.485,4.172,187.598,144.254,3.219,138.344,2.962,2.703,4.884e-05,Cs12Sb8Cl36,mp-669473
Insulator,2.331,-3.382,-1.223,4.211,164.982,145.654,3.268,139.472,2.966,2.664,5.465e-05,Cs12Bi8Cl36,mp-1204727
Insulator,2.184,-6.55,81.63,46.432,572.603,96.207,2.61,97.247,2.503,2.658,6.017e-05,K4Cu2P8O24,mp-6598
Insulator,3.807,-6.751,92.897,65.521,589.822,99.064,2.563,97.609,2.471,2.483,6.015e-05,K4Co2P8O24,mp-540548
Insulator,3.257,-6.742,73.671,22.209,530.768,133.629,2.516,126.252,2.481,2.614,6.909e-05,Ag8C24N24O8,mp-650510
